Brenden Aaronson,20,Philadelphia Union,Midfielder,"Medford, NJ",4
Saad Abdul-Salaam,29,FC Cincinnati,Defender,"Gahanna, OH",13
Mohammed Abu,29,D.C. United,Midfielder,"Namasi, Ghana, International",13
Lalas Abubakar,25,Colorado Rapids,Defender,"Accra, Ghana, International",9
David Accam,30,Nashville SC,Forward,"Accra, Ghana, International",14
Nicolas Acevedo,21,New York City FC,Midfielder,"Montevideo, Uruguay, International",5
Achara,23,Toronto FC,Midfielder,"Enugu, Nigeria, International",7
Danilo Acosta,23,LA Galaxy,Defender,"Sandy, UT",7
George Acosta,20,Inter Miami CF,Midfielder,"Sandy, UT",4
Kellyn Acosta,25,Colorado Rapids,Midfielder,"Plano, TX",9
Bryan Acosta,27,FC Dallas,Midfielder,"La Ceiba, Honduras, International",11
Mo Adams,24,Atlanta United FC,Midfielder,"Nottingham, England, International",8
Kyle Adams,24,Houston Dynamo FC,Defender,"Aukland, New Zealand, International",8
Fanendo Adi,30,Columbus Crew SC,Forward,"Lagos, Nigeria, International",14
Ali Adnan,26,Vancouver Whitecaps FC,Defender,"Baghdad, Iraq, International",10
Harrison Afful,34,Columbus Crew SC,Defender,"Senya Breku, Ghana, International",18
Juan Agudelo,28,Inter Miami CF,Forward,"Senya Breku, Ghana, International",12
Matheus Aias,23,Orlando City SC,Forward,"Palmares Paulista, Brazil, International",7
Jose Aja,27,Minnesota United FC,Defender,"Palmares Paulista, Brazil, International",11
Jacob Akanyirige,18,San Jose Earthquakes,Defender,"Pleasanton, CA",2
Tesho Akindele,28,Orlando City SC,Forward,"Thornton, CO",12
Ayo Akinola,20,Toronto FC,Forward,"Brampton, ON",4
Oswaldo Alanis,31,San Jose Earthquakes,Defender,"Morelia, Mexico, International",15
Fatai Alashe,27,Columbus Crew SC,Midfielder,"Northville, MI",11
Ignacio Aliseda,20,Chicago Fire FC,Midfielder,"Buenos Aires, Argentina, International",4
Nani,34,Orlando City SC,Midfielder,"Amadora, Portugal, International",18
Osvaldo Alonso,35,Minnesota United FC,Midfielder,"San Cristobal, Cuba, International",19
Jozy Altidore,31,Toronto FC,Forward,"Boca Raton, FL",15
Alexander Alvarado,21,Orlando City SC,Forward,"Quevedo, Ecuador, International",5
Efrain Alvarez,18,LA Galaxy,Midfielder,"Quevedo, Ecuador, International",2
Luis Amarilla,25,Minnesota United FC,Forward,"Areguá, Paraguay, International",9
Frankie Amaya,20,FC Cincinnati,Midfielder,"Santa Ana, CA",4
Mikey Ambrose,27,Inter Miami CF,Defender,"El Paso, TX",11
Sebastian Anderson,18,Colorado Rapids,Defender,"Highlands Ranch, CO",2
Isaac Angking,20,New England Revolution,Midfielder,"Providence, RI",4
Jalil Anibaba,32,Nashville SC,Defender,"Davis, CA",16
Tah Brian Anunga,24,Nashville SC,Midfielder,"Yaounde, Cameroon, International",8
Julian Araujo,19,LA Galaxy,Defender,"Lompoc, CA",3
Heber,29,New York City FC,Forward,"Colorado de Oeste, Brazil, International",13
Xavier Arreaga,26,Seattle Sounders FC,Defender,"Guayaquil, Ecuador, International",10
Luis Arriaga,19,Real Salt Lake,Midfielder,"Santa Rosa, CA",3
Paul Arriola,25,D.C. United,Midfielder,"Santa Rosa, CA",9
Yamil Asad,26,D.C. United,Midfielder,"Santa Rosa, CA",10
Dairon Asprilla,28,Portland Timbers,Midfielder,"Santa Rosa, CA",12
Josh Atencio,18,Seattle Sounders FC,Midfielder,"Bellevue, WA",2
Jeff Attinella,32,Portland Timbers,Goalkeeper,"Bellevue, WA",16
Francis Atuahene,24,FC Dallas,Forward,"Accra, Ghana, International",8
Eduard Atuesta,23,Los Angeles Football Club,Midfielder,"Velez, Colombia, International",7
Carlos Avilez,21,FC Dallas,Goalkeeper,"Dallas, TX",5
Dominique Badji,28,Nashville SC,Forward,"Dallas, TX",12
Zico Bailey,20,FC Cincinnati,Defender,"Henderson, NV",4
Theo Bair,21,Vancouver Whitecaps FC,Forward,"Ottawa, ON",5
Corey Baird,24,Real Salt Lake,Forward,"Escondido, CA",8
Mateo Bajamich,21,Houston Dynamo FC,Forward,"Morrison, Argentina, International",5
Michael Baldisimo,20,Vancouver Whitecaps FC,Midfielder,"Burnaby, BC",4
Robinho,25,Orlando City SC,Midfielder,"Madalena, Brazil, International",9
Ezequiel Barco,21,Atlanta United FC,Midfielder,"Madalena, Brazil, International",5
Tom Barlow,25,New York Red Bulls,Forward,"St. Louis, MO",9
Luis Barraza,24,New York City FC,Goalkeeper,"El Paso, TX",8
Alvaro Barreal,20,FC Cincinnati,Midfielder,"Buenos Aires, Argentina, International",4
